epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1531.82,1.20266,0.83744,1.10973,0.90039,0.93661,0.91467,0.5301,1.38506,0.70517,1.17991,0.000211372,0.000211372,0.000211372
71,1554.21,1.19402,0.82965,1.10909,0.90287,0.92913,0.91569,0.52233,1.39943,0.70996,1.18185,0.000204769,0.000204769,0.000204769
72,1574.73,1.20239,0.81456,1.10872,0.89228,0.92343,0.91019,0.53058,1.37633,0.73283,1.16736,0.000198166,0.000198166,0.000198166
73,1596.85,1.2028,0.82239,1.1046,0.89789,0.92993,0.91452,0.53777,1.38422,0.71308,1.17378,0.000191562,0.000191562,0.000191562
74,1619.09,1.198,0.8183,1.10634,0.88922,0.92531,0.90909,0.52245,1.40223,0.70529,1.17906,0.000184959,0.000184959,0.000184959
75,1639.92,1.19179,0.80394,1.10981,0.88556,0.9277,0.91469,0.52964,1.37966,0.70084,1.1793,0.000178356,0.000178356,0.000178356
76,1661.71,1.18974,0.80519,1.10254,0.87599,0.92256,0.90838,0.49458,1.46163,0.74239,1.22102,0.000171752,0.000171752,0.000171752
77,1682.2,1.18455,0.8145,1.11076,0.89733,0.93077,0.9155,0.5122,1.42694,0.71915,1.19095,0.000165149,0.000165149,0.000165149
78,1702.97,1.18017,0.80821,1.10204,0.89831,0.93543,0.92027,0.52802,1.39876,0.69135,1.18929,0.000158546,0.000158546,0.000158546
79,1724.34,1.18094,0.79995,1.10078,0.8938,0.92409,0.90709,0.52397,1.39023,0.69217,1.18108,0.000151943,0.000151943,0.000151943
80,1744.55,1.17334,0.79075,1.09887,0.88831,0.93003,0.91202,0.51168,1.42706,0.69734,1.21196,0.000145339,0.000145339,0.000145339
81,1766.24,1.18104,0.79383,1.0975,0.89295,0.9256,0.90231,0.51768,1.40207,0.68149,1.18986,0.000138736,0.000138736,0.000138736
82,1786.67,1.17295,0.79442,1.09921,0.89048,0.9271,0.90469,0.52189,1.40581,0.68226,1.18712,0.000132133,0.000132133,0.000132133
83,1807.39,1.17463,0.77962,1.09999,0.88776,0.92462,0.9092,0.5123,1.44206,0.6879,1.20304,0.000125529,0.000125529,0.000125529
